1580
107,102,6
140,63,7
81,102,0
105,92,0
67,16,4
51,201,4
136,161,9
68,69,11
23,47,7
20,69,9
28,7,0
110,63,7
163,81,5
67,24,4
200,47,7
90,80,9
52,58,9
157,167,10
183,196,7
129,80,3
171,148,7
41,179,10
109,80,9
170,63,7
20,138,4
147,121,10
200,127,4
54,72,4
29,68,4
33,53,7
155,69,9
86,20,10
20,44,7
192,74,12
103,38,3
107,63,7
103,80,3
89,80,9
188,80,9
37,209,12
41,70,12
109,154,7
98,72,4
44,102,0
88,80,9
170,129,12
202,196,7
135,47,7
6,138,4
163,61,5
189,61,5
62,68,4
155,66,4
71,158,5
93,201,4
74,127,1
129,38,3
193,55,10
3,72,4
107,7,6
67,92,6
103,39,1
83,141,1
29,115,4
1,176,4
174,114,9
110,2,7
189,31,5
106,39,4
174,16,8
56,102,0
162,176,1
70,72,1
35,72,1
67,26,9
168,176,1
91,148,7
15,102,6
177,113,11
136,59,4
100,205,9
197,208,4
32,69,9
170,154,7
37,129,12
193,146,8
62,115,4
124,148,7
136,198,9
1,105,5
144,72,4
11,72,4
197,68,4
83,113,3
122,59,1
204,127,1
195,80,9
121,58,9
32,68,4
144,208,4
89,63,7
41,51,10
152,24,4
195,68,4
129,40,3
83,69,3
146,38,11
189,8,5
86,119,10
192,161,9
207,80,9
51,47,7
96,127,4
100,74,12
114,113,14
103,176,1
128,2,7
78,80,9
103,114,3
99,14,6
27,141,4
140,148,7
125,102,6
90,72,4
124,47,7
192,156,5
60,28,5
86,146,8
164,129,12
43,80,9
171,208,4
63,7,0
20,1,10
86,34,10
207,81,5
124,176,4
189,7,6
22,196,7
49,53,7
163,10,5
100,92,6
60,81,5
126,103,12
189,176,4
3,199,4
23,92,6
136,205,9
57,66,4
125,56,7
118,69,9
62,39,4
48,146,4
152,146,4
57,72,4
71,121,10
70,68,1
80,69,14
121,80,9
193,169,10
48,72,4
86,127,4
27,47,7
22,68,4
147,135,10
96,26,9
183,7,6
95,56,7
10,7,0
136,160,4
86,43,10
13,69,9
125,148,7
156,7,0
74,16,1
96,103,12
33,129,12
169,59,4
182,14,6
184,46,11
78,39,4
122,137,1
90,173,7
67,104,4
171,102,6
75,7,6
193,208,8
29,66,4
23,46,9
67,79,4
171,196,7
48,69,9
144,39,4
67,176,4
186,184,8
17,47,7
73,113,9
86,135,10
41,27,10
122,116,3
1,81,5
29,72,4
1,161,9
153,113,9
157,100,10
164,81,5
67,160,4
140,2,7
41,157,10
1,92,6
186,80,9
200,14,6
43,208,4
110,122,12
137,69,11
84,137,4
41,167,10
128,127,4
49,154,7
135,138,4
191,68,4
71,177,4
55,56,7
164,187,5
89,148,7
41,138,4
21,102,0
125,81,5
96,24,4
170,127,4
86,159,10
86,208,8
35,137,1
200,138,4
90,69,9
27,201,4
119,14,6
159,80,9
166,199,4
87,7,0
174,25,8
121,38,9
30,148,7
41,208,8
118,72,4
202,148,7
60,61,5
22,28,5
136,127,4
89,28,5
0,56,7
198,46,14
123,138,4
55,148,7
71,94,10
67,46,9
103,66,1
30,187,5
1,56,7
91,129,12
86,131,10
62,72,4
170,187,5
41,78,10
140,176,4
76,127,4
157,158,5
206,14,6
181,114,9
98,68,4
171,53,7
49,63,7
129,69,3
17,14,6
60,135,10
151,146,4
153,177,4
78,115,4
41,64,10
103,138,1
147,206,10
145,103,12
106,116,9
93,56,7
186,72,4
41,48,10
41,127,4
110,61,5
41,28,5
118,58,9
20,80,9
96,178,4
103,113,3
124,14,6
23,138,4
103,69,3
88,72,4
135,127,4
43,56,7
188,69,9
207,56,7
49,165,7
27,156,5
83,40,3
19,14,0
91,2,7
192,176,4
126,56,7
209,58,3
67,158,5
90,127,4
78,68,4
141,38,11
27,176,4
103,141,1
95,177,4
164,7,6
107,47,7
129,113,3
103,115,1
84,139,4
86,70,12
166,69,9
107,26,9
23,160,4
197,148,7
55,14,6
60,158,5
159,72,4
60,10,5
0,83,12
193,152,10
70,208,2
136,79,4
1,47,7
84,141,4
22,53,7
41,169,10
41,76,10
89,72,4
186,178,4
163,28,5
207,47,7
21,14,0
67,74,12
86,106,10
82,68,4
193,73,10
9,208,4
183,122,12
95,178,4
17,122,12
164,56,7
129,72,1
202,138,4
180,138,4
94,47,7
124,102,6
119,66,4
203,138,4
61,102,0
73,66,4
189,138,4
167,47,7
37,38,9
202,176,4
202,154,7
150,8,5
135,146,4
69,80,14
193,127,4
17,40,9
206,102,6
110,154,7
52,66,4
29,47,7
60,47,7
20,68,4
23,198,9
142,127,1
41,188,10
119,7,6
129,59,1
20,72,4
200,208,4
206,7,6
180,127,4
109,42,5
129,24,1
193,149,10
150,40,9
130,102,0
204,178,1
70,176,1
41,200,10
18,201,4
122,38,3
81,92,0
192,160,4
150,156,5
207,138,4
22,154,7
74,46,3
103,127,1
91,56,7
83,177,1
201,38,11
157,27,10
147,141,4
173,92,0
55,102,6
99,115,4
51,28,5
72,137,13
189,148,7
148,92,0
90,148,7
145,138,4
172,24,1
125,92,6
82,169,10
72,80,11
1,127,4
76,92,6
76,61,5
90,28,5
86,55,10
131,68,4
22,40,9
20,56,7
9,38,9
101,178,4
17,102,6
207,137,4
60,59,4
20,105,5
93,129,12
101,177,4
196,102,0
15,14,6
34,177,4
94,146,4
174,69,9
127,138,13
197,72,4
51,158,5
83,114,3
189,190,5
0,148,7
9,146,4
51,68,4
35,201,1
15,115,4
34,61,5
2,14,0
129,39,1
71,8,5
17,154,7
136,154,7
48,80,9
76,103,12
129,116,3
203,176,4
52,102,6
96,83,12
147,157,10
151,39,4
207,28,5
71,131,10
136,141,4
131,139,4
181,102,6
71,192,10
76,201,4
121,77,5
151,208,4
152,47,7
34,178,4
193,176,4
103,208,1
20,148,7
64,58,9
129,137,1
103,116,3
45,68,4
121,56,7
27,158,5
193,54,10
82,170,10
30,59,4
157,7,6
17,127,4
78,69,9
109,201,4
64,72,4
113,114,14
70,127,1
142,176,1
193,34,10
144,68,4
20,146,4
33,208,4
193,206,10
107,92,6
83,58,3
51,56,7
207,176,4
135,141,4
159,68,4
71,85,10
89,44,7
83,72,1
83,201,1
81,14,0
109,56,7
109,63,7
129,176,1
93,138,4
43,69,9
17,28,5
51,83,12
41,90,10
93,136,10
100,50,5
60,109,10
40,116,14
30,113,9
164,28,5
4,46,11
41,146,8
86,94,10
135,56,7
182,176,4
60,58,9
157,76,10
74,24,1
60,146,8
48,208,4
193,66,8
13,80,9
30,7,6
149,66,4
74,184,1
90,92,6
71,20,10
147,109,10
93,67,10
89,14,6
49,127,4
71,27,10
71,178,4
121,69,9
169,127,4
30,102,6
41,34,10
1,205,9
91,61,5
193,181,10
60,167,10
39,40,11
27,103,12
71,167,10
181,196,7
48,58,9
54,38,9
89,53,7
86,93,10
136,81,5
103,139,1
71,141,8
194,7,0
193,22,10
6,176,4
136,74,12
174,68,4
0,66,4
126,83,12
109,38,9
107,58,9
118,68,4
76,146,4
126,176,4
193,0,10
20,77,5
154,102,0
64,66,4
157,136,10
163,158,5
135,68,4
167,129,12
106,67,10
147,176,4
22,139,4
121,127,4
209,72,1
140,102,6
30,178,4
129,26,3
55,58,9
0,127,4
164,26,9
168,127,1
22,72,4
125,14,6
192,59,4
101,7,6
83,80,3
200,28,5
193,78,10
0,103,12
109,77,5
95,53,7
131,138,4
64,14,6
22,80,9
193,9,10
145,92,6
76,139,4
88,69,9
156,92,0
140,44,7
192,138,4
84,47,7
83,39,1
108,14,0
129,199,1
128,165,7
168,141,1
182,103,12
103,26,3
55,113,9
193,201,4
188,58,9
145,176,4
128,12,7
15,40,9
86,179,10
83,146,1
192,56,7
106,208,4
193,43,10
122,69,3
107,38,9
128,70,12
131,146,4
167,156,5
154,14,0
86,167,10
131,56,7
171,103,12
169,103,12
60,176,4
193,109,10
82,100,10
66,38,11
123,92,6
193,135,10
84,148,7
123,176,4
86,138,4
91,103,12
157,20,10
189,47,7
193,200,10
86,174,10
41,9,10
135,137,4
167,201,4
109,24,4
71,169,10
192,47,7
22,127,4
181,63,7
17,116,9
33,176,4
99,39,4
86,17,10
186,114,9
53,102,0
151,7,6
33,28,5
34,92,6
37,102,6
71,51,10
43,113,9
169,138,4
203,137,8
123,8,5
83,137,1
0,53,7
189,187,5
202,44,7
82,183,10
47,7,0
28,14,0
129,141,1
164,92,6
136,105,5
131,47,7
171,56,7
30,47,7
131,38,9
135,28,5
27,138,4
76,56,7
104,46,11
1,198,9
17,53,7
169,56,7
89,7,6
67,47,7
93,127,4
122,139,1
27,23,10
103,146,1
74,138,1
167,61,5
34,2,7
135,103,12
99,40,9
200,66,4
49,129,12
183,53,7
94,201,4
100,160,4
67,77,5
155,208,4
73,178,4
86,51,10
68,72,13
15,39,4
54,68,4
96,129,12
20,129,12
28,102,0
94,129,12
209,80,3
127,65,13
103,137,2
124,129,12
204,177,1
8,7,0
30,61,5
164,103,12
82,23,10
64,68,4
183,138,4
124,59,4
115,116,11
169,156,5
67,205,9
193,151,10
53,14,0
106,58,9
27,146,4
147,76,10
200,24,4
96,53,7
52,14,6
103,59,1
130,92,0
163,47,7
100,47,7
170,59,4
174,146,4
57,208,4
30,154,7
101,14,6
9,7,6
109,47,7
90,103,12
193,11,10
153,114,9
60,127,4
157,121,10
60,92,6
152,7,6
209,68,1
144,66,4
74,205,3
51,129,12
29,69,9
94,141,4
71,146,4
151,115,4
131,127,4
95,154,7
34,47,7
20,53,7
1,74,12
175,177,4
163,7,6
83,137,2
30,8,5
1,138,4
206,146,4
168,38,3
136,4,4
157,135,10
157,147,10
49,44,7
83,66,1
49,196,7
208,38,11
132,176,4
86,157,10
202,14,6
96,116,9
86,149,10
60,76,10
140,14,6
96,113,9
20,136,10
95,63,7
95,148,7
82,1,10
193,52,10
168,58,3
74,161,3
197,80,9
17,12,7
153,7,6
23,205,9
109,28,5
33,61,5
121,47,7
103,137,1
101,113,9
86,78,10
181,177,4
20,127,4
41,20,10
52,201,4
86,176,4
60,94,10
167,92,6
51,72,4
193,138,4
86,118,10
71,76,10
35,68,1
209,127,1
67,59,4
